full_name,commit_frequency,activity_consistency,commit_trend,active_days_ratio,peak_to_average_ratio,recent_vs_past_ratio,velocity_stability,has_description,has_license,forks_count,open_issues_count,stars,commit_count_total
openai/gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,8689,1838,36431,1757
langfuse/langfuse,51.7692,18.9327,0.284812,1.0,2.2793,1.8904,0.3657,1,1,1445,1702,15636,4932
containrrr/watchtower,0.0192,0.1373,0.001323,0.0192,52.0,0.0,7.1414,1,1,1005,892,23304,923
NickeManarin/ScreenToGif,0.8077,2.646,-0.019636,0.1923,21.0476,0.0,3.276,1,1,2286,1036,25587,1323
karpathy/llm.c,0.0577,0.3047,-0.004653,0.0385,34.6667,0.0,5.281,1,1,3169,157,27513,1536
google/zx,4.6731,5.2723,-0.147059,0.7308,4.4938,4.5,1.1282,1,1,1162,490,44559,959
huggingface/candle,5.3269,4.0035,-0.008836,0.9808,3.7545,1.5,0.7516,1,1,1202,885,17983,2418
k88hudson/git-flight-rules,0.0385,0.1923,-0.000939,0.0385,26.0,0.0,5.0,1,1,3209,73,42432,452
astral-sh/uv,49.8077,18.323,-0.15248,1.0,2.2486,0.9732,0.3679,1,1,1956,7440,66339,7367
alibaba/weex,0.0385,0.1923,0.001964,0.0385,26.0,0.0,5.0,1,1,2135,1955,18517,12046
carbon-app/carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1961,687,35665,1883
Micropoor/Micro8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,6740,46,18107,127
facebookresearch/faiss,6.7308,4.8561,0.062665,0.9808,3.4171,1.16,0.7215,1,1,4017,2675,36858,1578
rxhanson/Rectangle,1.2692,2.1672,0.015624,0.4423,6.303,4.0,1.7075,1,1,854,690,27512,1315
qinguoyi/TinyWebServer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4145,257,18553,165
lib-pku/libpku,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,8300,43,32745,132
Dokploy/dokploy,52.1923,31.9489,0.060958,1.0,2.874,0.6667,0.6121,1,1,1342,1011,24006,4028
typicode/json-server,0.8654,2.2104,0.074746,0.25,11.5556,9.5,2.5542,1,1,7208,1170,74849,976
EthicalML/awesome-production-machine-learning,2.9038,8.6675,-0.121446,0.5962,21.6954,0.0,2.9848,1,1,2403,87,19078,1136
sindresorhus/awesome,0.7308,2.0392,-0.007769,0.3077,15.0526,0.0,2.7905,1,1,31414,354,396445,1173
yuaotian/go-cursor-help,0.6346,2.3699,0.059378,0.0962,22.0606,0.0,3.7344,1,1,2954,537,24427,398
yabwe/medium-editor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1854,948,16112,2621
catppuccin/catppuccin,3.0,3.7826,-0.141467,0.5577,4.6667,1000000000.0,1.2609,1,1,323,537,17325,1106
NARKOZ/hacker-scripts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,6636,88,48654,150
google-gemini/gemini-fullstack-langgraph-quickstart,0.8654,3.5574,-0.04384,0.0769,23.1111,0.0,4.1108,1,1,2794,51,16591,45
conventional-changelog/commitlint,5.2885,5.5482,-0.171903,0.75,5.1055,0.1765,1.0491,1,1,942,681,17864,3087
penpot/penpot,83.7115,29.1273,0.275292,1.0,2.1144,1.1429,0.3479,1,1,2174,1925,40050,18458
PlexPt/awesome-chatgpt-prompts-zh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,13557,96,56056,178
kelseyhightower/kubernetes-the-hard-way,0.1731,1.1046,-0.015666,0.0385,46.2222,0.0,6.3819,1,1,15133,428,45595,296
v2fly/v2ray-core,3.75,6.1359,0.019935,0.6538,10.4,6.0,1.6362,1,1,4873,1042,31894,6765
ValdikSS/GoodbyeDPI,0.0577,0.2332,0.001836,0.0577,17.3333,0.0,4.0415,1,1,2038,725,27104,248
astral-sh/ruff,89.1923,17.8703,0.173568,1.0,1.5809,0.7992,0.2004,1,1,1510,7162,42115,11991
ageitgey/face_recognition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,13669,1370,55352,238
expressjs/express,1.9423,1.9455,0.003799,0.75,4.1188,0.5714,1.0017,1,1,20500,3993,67621,6079
NginxProxyManager/nginx-proxy-manager,12.6154,20.2552,0.657048,0.8462,7.5305,0.9714,1.6056,1,1,3244,3001,28262,1730
tldr-pages/tldr,91.2692,38.881,1.274311,1.0,1.9503,0.879,0.426,1,1,4698,1526,59083,18773
telegramdesktop/tdesktop,53.7885,23.1087,0.553018,1.0,1.9521,0.1783,0.4296,1,1,5803,15259,28408,20495
tw93/Pake,9.6346,14.7323,0.272987,0.6538,7.1617,0.8125,1.5291,1,1,7779,406,41860,1642
