full_name,commit_frequency,activity_consistency,commit_trend,active_days_ratio,peak_to_average_ratio,recent_vs_past_ratio,velocity_stability,has_description,has_license,forks_count,open_issues_count,stars,commit_count_total
cmderdev/cmder,2.0769,8.3432,0.090925,0.2692,28.4074,3500000000.0,4.0171,1,1,2071,2294,26536,1723
Molunerfinn/PicGo,1.4038,2.6693,0.09498,0.3654,8.5479,0.1818,1.9014,1,1,2291,1229,25591,536
tloen/alpaca-lora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2220,471,18956,152
coder2gwy/coder2gwy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3725,157,27346,58
google/material-design-lite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4974,2194,32261,2872
jamiebuilds/react-loadable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,776,0,16583,220
apache/arrow,26.0962,9.1657,0.096346,1.0,2.031,0.7903,0.3512,1,1,3834,26770,15891,17901
instillai/TensorFlow-Course,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3176,12,16364,227
dotnet/aspnetcore,24.4423,11.0164,-0.177623,1.0,2.2093,1.175,0.4507,1,1,10430,37659,37024,55401
labuladong/fucking-algorithm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,23419,921,129155,516
CorentinJ/Real-Time-Voice-Cloning,0.0962,0.4498,0.003202,0.0577,31.2,0.0,4.6776,1,1,9063,1101,54929,298
mbadolato/iTerm2-Color-Schemes,3.25,8.2715,0.034022,0.7115,17.5385,0.0,2.5451,1,1,6490,124,25968,831
openai/whisper,0.2308,1.1027,-0.011184,0.0577,30.3333,0.0,4.7784,1,1,10835,0,87495,166
syl20bnr/spacemacs,7.5962,5.7387,-0.185819,0.9423,2.8962,0.4,0.7555,1,1,4881,8671,24305,13456
bcicen/ctop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,567,248,16814,628
coze-dev/coze-studio,7.4038,16.0231,0.004653,0.5192,10.9403,0.0,2.1642,1,1,2198,627,16274,259
bitcoin/bitcoin,66.4423,21.6523,-0.274524,1.0,2.2576,0.6111,0.3259,1,1,37691,8694,85286,45988
pouchdb/pouchdb,1.5385,2.6708,-0.004866,0.4423,9.1,4.0,1.736,1,1,1490,4346,17376,5262
slidevjs/slidev,4.6923,4.9635,0.053189,0.7692,4.6885,0.625,1.0578,1,1,1644,1220,39598,2798
plausible/analytics,13.6923,7.0015,-0.216938,0.9808,2.5562,1.2222,0.5113,1,1,1268,749,23229,3755
keycloak/keycloak,51.6538,14.1963,-0.250149,1.0,1.7617,0.7559,0.2748,1,1,7567,15339,29309,28966
qier222/YesPlayMusic,0.25,0.7037,0.000384,0.1346,12.0,0.0,2.8148,1,1,4644,1799,31587,721
mindsdb/mindsdb,22.0577,15.9837,0.169769,1.0,4.2162,0.3636,0.7246,1,1,5732,4308,35481,19634
barry-ran/QtScrcpy,0.5769,1.6331,-0.01477,0.2308,17.3333,0.0,2.8308,1,1,3179,952,25788,812
mihomo-party-org/clash-party,7.0962,9.4264,0.197857,0.7885,6.9051,0.7,1.3284,1,1,1211,950,15740,884
ityouknow/spring-boot-examples,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,12350,109,30585,213
quasarframework/quasar,3.7115,7.5888,-0.161999,0.4038,12.1244,0.0,2.0447,1,1,3650,8013,26830,15026
deepseek-ai/DeepSeek-V3,0.3269,1.0138,-0.021472,0.1154,15.2941,0.0,3.101,0,1,16163,601,99082,73
pulumi/pulumi,32.9231,10.9647,-0.115427,1.0,1.7009,0.7664,0.333,1,1,1230,8448,23679,13858
enaqx/awesome-pentest,0.2115,0.8624,0.006531,0.1154,28.3636,0.0,4.0767,1,0,4621,41,23833,861
MoienTajik/AspNetCore-Developer-Roadmap,0.0577,0.3047,0.002519,0.0385,34.6667,0.0,5.281,1,0,2548,73,19324,195
google/flexbox-layout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1807,336,18346,370
mitmproxy/mitmproxy,4.1923,5.0727,-0.051396,0.6538,5.4862,0.0,1.21,1,1,4283,3567,40332,11012
goharbor/harbor,5.4038,4.9933,-0.023692,0.9808,4.6263,0.2381,0.924,1,1,4946,11949,26323,12472
evanw/esbuild,3.1731,5.402,-0.012251,0.3654,5.3576,0.0,1.7024,1,1,1233,3764,39266,4315
heartcombo/devise,0.8077,2.0195,0.050884,0.2115,9.9048,4000000000.0,2.5003,1,1,5530,4265,24227,3911
espressif/esp-idf,137.8077,38.1767,-0.462904,1.0,1.5529,0.3273,0.277,1,1,7835,14062,16140,46369
dracula/dracula-theme,1.1346,2.6605,0.029924,0.2308,9.6949,4.0,2.3448,1,1,2252,780,23101,672
SnapKit/Masonry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3162,464,18208,406
gitbutlerapp/gitbutler,181.6731,58.1694,-0.421284,1.0,1.7944,1.0387,0.3202,1,1,661,1158,16127,16742
sindresorhus/quick-look-plugins,0.1538,0.4955,0.004525,0.1154,19.5,1.0,3.221,1,0,537,94,18367,59
marktext/marktext,0.0192,0.1373,0.000982,0.0192,52.0,0.0,7.1414,1,1,3751,2916,51149,1608
t3-oss/create-t3-app,0.7885,2.491,-0.040937,0.1731,19.0244,0.0,3.1594,1,1,1375,739,27868,1366
karpathy/nanoGPT,0.0192,0.1373,0.000896,0.0192,52.0,0.0,7.1414,1,1,7447,337,43958,209
tj/n,0.0577,0.412,-0.003714,0.0192,52.0,0.0,7.1414,1,1,758,544,19358,837
Orange-OpenSource/hurl,17.1923,9.9885,-0.019722,1.0,3.3154,0.7321,0.581,1,1,664,869,17188,3727
Semantic-Org/Semantic-UI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4918,6235,51198,6749
socketio/socket.io,1.1538,3.6342,0.050798,0.2885,20.8,0.0,3.1496,1,1,10137,3620,62361,7613
datawhalechina/happy-llm,4.6538,6.9887,-0.142918,0.6346,5.3719,4.0,1.5017,1,1,1329,88,16149,243
agno-agi/agno,43.7308,20.8918,-0.049688,1.0,2.2639,2.537,0.4777,1,1,4137,1288,32541,4000
zai-org/ChatGLM2-6B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1832,621,15704,77
rockerBOO/awesome-neovim,11.9615,17.2793,0.384786,0.8462,8.4437,0.5,1.4446,1,1,871,167,18914,1504
cool-RR/PySnooper,0.1154,0.6093,-0.008794,0.0385,34.6667,0.0,5.281,1,1,955,136,16531,327
junegunn/fzf,6.1346,4.3634,-0.032058,1.0,3.4232,2.3636,0.7113,1,1,2577,3019,73380,3356
JedWatson/classnames,0.7308,0.8347,0.013319,0.5,4.1053,1.0,1.1422,1,1,559,175,17779,471
apple/foundationdb,10.2115,7.3179,-0.039401,0.9615,3.2316,1.3158,0.7166,1,1,1411,1786,15638,28021
donnemartin/data-science-ipython-notebooks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,8015,41,28501,543
caolan/async,0.3077,1.2487,-0.004952,0.0962,26.0,0.0,4.0582,1,1,2400,1142,28224,1983
