full_name,commit_frequency,activity_consistency,commit_trend,active_days_ratio,peak_to_average_ratio,recent_vs_past_ratio,velocity_stability,has_description,has_license,forks_count,open_issues_count,stars,commit_count_total,has_readme,health_score,health_grade
microsoft/semantic-kernel,16.4038,13.2175,-0.727525,0.9615,2.8652,0.4,0.8058,1,1,4172,4652,25985,4729,1,63.49,C
clockworklabs/SpacetimeDB,23.3654,13.6791,0.3021,1.0,3.0387,1.7532,0.5854,1,1,597,1059,17378,2380,1,77.04,A
libgdx/libgdx,2.5769,3.2483,-0.08068,0.6731,4.6567,3.0,1.2606,1,1,6502,3823,24311,15543,1,60.85,C
YMFE/yapi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,4831,2459,27665,5802,1,51.31,C
shadps4-emu/shadPS4,19.2115,10.7906,-0.327542,1.0,2.6026,0.6279,0.5617,1,1,1705,1087,26048,3332,1,73.3,B
pingcap/tidb,37.2308,11.1193,-0.180825,1.0,1.5579,0.2828,0.2987,1,1,6008,21344,38962,26770,1,65.59,C
so-fancy/diff-so-fancy,0.1346,0.8327,-0.004738,0.0385,44.5714,0.0,6.1859,1,1,335,292,17788,733,1,37.93,E
plotly/plotly.py,14.8846,14.1172,-0.591394,0.8846,4.6357,1.4286,0.9484,1,1,2706,3245,17671,8192,1,61.05,C
gyoogle/tech-interview-for-developer,0.0385,0.1923,-0.002305,0.0385,26.0,0.0,5.0,1,1,3672,46,16429,845,1,40.96,D
mjmlio/mjml,1.4231,2.9765,0.043712,0.3654,9.8378,0.0,2.0916,1,1,979,2065,17619,2424,1,49.79,C
Genymobile/scrcpy,1.7115,1.9839,-0.048877,0.6538,4.6742,0.0,1.1592,1,1,11931,5638,127337,2851,1,70.35,B
anthropics/courses,0.0962,0.3541,0.002006,0.0769,20.8,0.0,3.6824,1,1,1539,29,17005,53,1,43.77,D
josephmisiti/awesome-machine-learning,2.2692,3.247,0.007342,0.6923,8.3729,0.0,1.4309,1,1,15065,93,69524,2040,1,77.51,A
OpenBB-finance/OpenBB,3.2885,2.3067,-0.004311,0.8846,3.0409,1.3333,0.7014,1,1,4871,2245,51730,6715,1,77.09,A
